id,genre_id
324786,36
324786,10752
324857,16
324857,28
324857,12
324857,878
330457,10751
330457,16
330457,12
330457,35
330457,14
331482,18
331482,10749
331482,36
333339,12
333339,28
333339,878
335787,28
335787,12
335797,16
335797,35
335797,10751
335797,10402
335977,12
335977,28
335983,878
335983,28
335984,878
335984,18
335988,28
335988,12
335988,878
336843,878
336843,28
336843,12
336843,53
337167,18
337167,10749
337339,28
337339,80
337339,53
337404,35
337404,80
337404,10751
337404,12
338953,14
338953,12
339846,35
339846,28
339846,80
345887,28
345887,53
345887,80
345940,28
345940,878
345940,27
346364,27
346698,35
346698,12
348893,28
348893,18
351286,28
351286,12
351286,878
351286,53
351523,10749
351523,18
353081,28
353081,12
353486,12
353486,35
353486,14
353491,14
353491,28
353491,878
354912,10751
354912,16
354912,10402
354912,12
359410,28
359410,53
359724,18
359724,28
359724,36
360920,16
360920,10751
360920,35
360920,14
361743,28
361743,18
365177,28
365177,878
365177,35
370172,28
370172,53
370172,12
370663,18
370663,10749
372058,16
372058,10749
372058,18
373571,878
373571,28
383498,28
383498,35
383498,12
384018,28
384018,12
384018,35
385687,28
385687,80
385687,53
387824,18
390845,10749
396535,27
396535,53
396535,28
398818,10749
398818,18
399579,28
399579,878
399579,12
400928,18
400928,35
402431,18
402431,10749
402431,14
414906,80
414906,9648
414906,53
416494,35
416494,14
416494,878
419329,10749
420634,27
420634,53
420818,12
420818,18
420818,10751
420818,16
423108,27
423108,9648
423108,53
426063,27
426063,14
426063,18
426889,16
426889,99
429617,28
429617,12
429617,878
436270,28
436270,12
436270,878
437342,27
438148,16
438148,35
438148,10751
438148,12
438631,878
438631,12
439079,27
442249,27
442249,28
442249,53
447277,12
447277,10751
447277,14
447277,10749
447332,27
447332,18
447332,878
447365,878
447365,12
447365,28
449443,28
449443,80
449443,53
453395,14
453395,28
453395,12
454626,28
454626,878
454626,35
454626,10751
455476,14
455476,28
455476,12
458156,28
458156,53
458156,80
459151,16
459151,35
459151,12
459151,10751
466272,35
466272,18
466272,53
466282,35
466282,10749
466420,80
466420,36
466420,18
467244,18
467244,36
473924,35
473924,10749
475557,80
475557,53
475557,18
476669,28
476669,12
476669,53
481871,18
482600,10749
482600,18
490132,18
490132,36
493529,12
493529,14
493529,35
493922,27
493922,9648
493922,53
496243,35
496243,53
496243,18
496450,16
496450,14
496450,28
496450,10749
496450,10751
497698,28
497698,12
497698,878
500664,28
500664,53
500664,878
502356,16
502356,10751
502356,12
502356,14
502356,35
505642,28
505642,12
505642,878
507086,12
507086,28
507086,878
507089,27
507089,9648
507241,28
507241,35
507241,80
508442,16
508442,10751
508442,35
508442,14
508883,16
508883,12
508883,14
508883,10751
508883,18
508943,16
508943,35
508943,14
508943,12
508943,10751
508947,16
508947,10751
508947,35
508947,14
508965,16
508965,10751
508965,12
508965,35
508965,14
512200,12
512200,35
512200,14
519182,16
519182,10751
519182,35
519182,878
527435,35
527435,12
527435,10751
527435,14
527774,16
527774,10751
527774,14
527774,28
527774,12
529203,16
529203,10751
529203,12
529203,14
529203,35
533535,28
533535,35
533535,878
536554,878
536554,27
537915,10749
537915,18
539972,28
539972,12
539972,53
545611,28
545611,12
545611,878
549509,18
558449,28
558449,12
558449,18
565770,28
565770,878
565770,12
566525,28
566525,12
566525,14
567811,16
567811,35
567811,10751
567811,14
568124,16
568124,35
568124,10751
568124,14
569094,16
569094,28
569094,12
569094,878
572802,28
572802,12
572802,14
573435,28
573435,35
573435,80
573435,53
573435,12
575264,28
575264,12
575265,28
575265,12
575265,53
580489,878
580489,28
580489,12
585083,16
585083,35
585083,10751
585083,12
585083,14
585511,16
585511,12
585511,35
